,year,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65+,< 20
0,2017,59295,81555,28678,11423,5477,3287,1997,1083,546,362,10038
1,2018,58471,81862,29965,12219,5893,3714,2303,1233,618,401,9673
2,2019,55276,81876,29638,12736,6308,3800,2480,1309,701,430,9107
3,2020,51825,75019,25433,11116,5438,3277,2140,1294,654,486,7907
4,2021,60087,91355,29935,12689,5968,3616,2052,1271,729,474,7797
5,2022,52995,86754,33896,15254,7753,4761,2871,1785,1018,633,7104
